Group 1,Group 2,Group 3,Group 4,Group 5,Group 6,Group 7,Group 8,Group 9,Group 10,Group 11,Group 12,Group 13,Group 14,Group 15,Group 16,Group 17,Group 18,Group 19,Group 20,Group 21,Group 22,Group 23,Group 24,Group 25,Group 26,Group 27,Group 28,Group 29,Group 30,Group 31,Group 32
deify,banal,bucolic ,incendiary,frivolous,dupe,insular,indiscriminate,erudite,feign,eccentric,exasperated,documentary,dictate,entrenched,iconoclastic,dogmatic,deflect,ebullient,largesse,enthrall,fervent,glib,disinterested,delineate,fickle,exigent,distend,croon,feint,fringe,indictment
didactic,benign,burgeon,inimical,heterogeneous,empirical,intransigent,innocuous,fecund,furtive,fractious,fungible,exhaustive,discreet,exotic,immure,fallacious,discount,facetious,libertine,eradicate,foment,headstrong,escalate,disentangle,figurative,haughty,endemic,depose,flagrant,hapless,indignant
disseminate,brazen,cacophonous ,intimate ,imperious,engender,intrepid,momentary,feeble,hamper,limpid,hackneyed,exhilarating,divorced,exploitative,improvise,foolhardy,dissident,fallible,malfeasance,fledgling,gaffe,intermittent,exorcise,exhort,flustered,heady,enmity,detente,gratuitous,immaculate,ineluctable
feasible,calumny,canonize,invigorate,impertinent,entitled,irreverent,mundane,felicitous,indispensable,mawkish,incongruous,extraneous,elitist,foreseeable,inhibit,hinder,efficacious,florid,manifest,fortitude,heterodox,ire,finicky,frailty,gullible,imperturbable,gauche,dowdy,grovel,obfuscate,inquisitive
flout,candid,censure,mitigate,invasive,pertinacious,loathe,nettlesome,forbear,lament,obeisance,interchangeable,fervor,exacting,forsake,inscrutable,impair,equitable,gawky,minute,fortuitous ,histrionic,languid,foil,grievance,idiosyncratic,implacable,hysterical,echelon,indecorous,ossify,latitude
homogeneous,castigate,chicanery ,obsolete,irresolute,presumptuous,malign,nullify,haphazard,myopic,ostentatious,laconic,futile,flummoxed,gratify,lionize,impugn,erratic,inveigle,modish,goad,implicit,lull,intertwined,harangue,incidental,lambaste,impudent,ennui,intrigue,pastiche,levity
humdrum,caustic,coalesce,opaque,laudable,probity,malleable,obviate,hodgepodge,nonchalant,panacea,lucrative,illusory,fruitful,heed,monotonous,incessant,industrious,jettison,nascent,imminent,inviolate,mettlesome,inundate,ploy,ingrained,miscreant,inchoate,expatiate,nominal,perspicacious,malevolent
insipid,construe,cogent,paradigmatic,lax,proliferate,neophyte,omnipresent,impede,partial,perfunctory,magisterial,invidious,inborn,judicious,peculiar,inclined,inform,mendacity,perennial,incontrovertible,liability,mollify,ironclad,poise,insolent,peccadillo,penchant,fraught,obdurate,ponderous,mediate
loquacious,contrite,compelling,pedantic,marginalize,specious,plastic,oust,impetuous,pensive,perilous,onerous,lethargic,polymath,lucid,premeditate,inveterate,irksome,munificent,pious ,itinerant,obstinate,neutralize,jeopardize,pomposity,lampoon,philistine,quandary,fulcrum,obstreperous,recluse,occlude
misanthropic,convoluted,contend,placid,panache,spurious,platitude,palpable,irascible,portend,pervasive ,opprobrium,metaphorical,reticent,pertinent,profligate,miserly,manacle,naive,providential,magnanimous,painstaking,nonplussed,mercurial,proxy,lavish,relegate,quarantine,imbroglio,odious,retaliate,pacify
misnomer,covet,copious ,polemical,plodding,subjective,prescient,perfidy,mercenary,provincial,preclude,parsimonious,mimic,stringent,propriety,reconcile,patent,modest,noble,prowess,meritorious ,phlegmatic,precipitous,oblivious,relent,lugubrious,repugnant,quash,jocund,plucky,rhapsody,paragon
negligent,craven,cosmopolitan,precipitate,prosaic,subvert,pristine,profuse,meticulous,rudimentary,predilection ,peripheral,numinous,subservient,scintillating,refine,petulant,noxious,parochial,schism,mutiny ,prodigious,pretentious,perpetrate,rhetoric,macabre,sentimental,quibble,languish,precocious,serendipitous,patronize
obsequious,decorum,deference,profundity,remedial,timorous,reproach,pugnacious,mordant,salutary,rapacious,provocative,obscure,surreptitious,sensational,relinquish,pithy,pernicious,pedestrian,slander,paradoxical,propensity,profound,plaintive,rigor,morose,squander,ravage,nadir,remuneration,shirk,penurious
placate,deft,desultory ,prophetic,restive,tortuous,robust,sagacious,outstrip,sever,relish,renounce,overt,tantalizing,sophisticated,ruminate,pliant,predicament,prevaricate,stalwart,perseverance,qualm,propagate,poignant,sparse,officious,swindle,recant,nimble,slovenly,sinecure,piquant
proclivity,demur,diffident,prudent,sporadic,tractable,salubrious,sanguine,precarious,slight,satirical,tempestuous,pellucid,tantamount,strife,skittish,sanctimonious,proficient,prime,supplicate,render,renege,recourse,quiescent,steadfast,ramification,tangible,redoubtable,ominous,soliloquy,sinuous,rampant
puerile,derivative,dilatory ,punctilious,stigmatize,transient,sanction,scant,quirky,somnolent,sham,tenable,perpetuate,torpor,understated,superfluous,sound,prolix,radical,terse,repertoire,stinting,refute,reiterate,suspect,serene,turpitude,retiring,outlandish,spurn,sordid,remote
quixotic,desiccate,equivocate,recondite,undermine,ubiquitous,sedulous,skullduggery,repudiate,stoic,skirt,transgression,rational,trenchant,unscrupulous,synoptic ,tarnish,scorn,recrudescent,tirade,resilient,temper,regress,subside,tedious,supplant,unalloyed,shrill,propitious,stolid,stanch,reprobate
spendthrift,diatribe,polarize,scrupulous,utterly,underscore,soporific,trivial,tact,supersede,sluggish,urbane,scathing,umbrage,veracity,thorough,tepid,subordinate,temporal,universal,resolute,tentative,repercussion,subsume,vitality,tacit,undercut,sophistry,prurient,temerity,surfeit,turbid
taciturn,incredulous,prodigal,tranquil,weary,venal,stern,utilitarian,trifling,tout,spartan,verisimilitude,subtle,versatile,virulent,visionary,upbraid,unseemly,transitory,vanquish,supple,unprecedented,replenish,surmount,whimsical,transcend,wheedle,substantiate,sadistic,tenuous,ulterior,turgid
wary,ingenuous,verbose,vacillate,zealous,venerate,tendentious,vapid,turbulent,wane,truculent,vitiate,superficial,wayward,volatile,vociferous,vexation,veritable,viable,woeful,valor,vivacious,vigilant,tangential,yield,treatise,xenophobic,wily,zenith,verve,posterity,posterity
